N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,conv2/Convolution,6439382,5837270,308281344,24576,1233125376,1233125376,308281344,3211264,619798528,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,conv2/Convolution,6439446,5837334,924844032,36864,1233125376,1233125376,308281344,3211264,619810816,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,conv2/Convolution,6439414,5837302,1541406720,30720,1233125376,1233125376,308281344,3211264,619804672,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
